team_1_name,team_2_name,team_1_avg_kd_ratio,team_2_avg_kd_ratio,team_1_barons_per_game,team_2_barons_per_game,team_1_gold_diff_at_14,team_2_gold_diff_at_14,team_1_overall_winrate,team_2_overall_winrate,team_1_avg_time_per_win,team_2_avg_time_per_win,team_1_dragons_per_game,team_2_dragons_per_game,team_1_first_blood_rate,team_2_first_blood_rate,team_1_first_tower_rate,team_2_first_tower_rate,team_1_heralds_per_game,team_2_heralds_per_game,team_1_turrets_per_game,team_2_turrets_per_game,team_1_avg_time_per_loss,team_2_avg_time_per_loss,team_1_gold_diff_per_min,team_2_gold_diff_per_min,team_1_avg_assists_per_kill,team_2_avg_assists_per_kill,team_1_vision_score_per_minute,team_2_vision_score_per_minute,team_1_region_BRAZIL,team_1_region_CHINA,team_1_region_COMMONWEALTH OF INDEPENDENT STATES,team_1_region_EMEA,"team_1_region_HONG KONG, MACAU, TAIWAN",team_1_region_JAPAN,team_1_region_KOREA,team_1_region_LATIN AMERICA,team_1_region_LATIN AMERICA NORTH,team_1_region_LATIN AMERICA SOUTH,team_1_region_NORTH AMERICA,team_1_region_OCEANIA,team_1_region_VIETNAM,team_1_region_None,team_2_region_BRAZIL,team_2_region_CHINA,team_2_region_COMMONWEALTH OF INDEPENDENT STATES,team_2_region_EMEA,"team_2_region_HONG KONG, MACAU, TAIWAN",team_2_region_JAPAN,team_2_region_KOREA,team_2_region_LATIN AMERICA,team_2_region_LATIN AMERICA NORTH,team_2_region_LATIN AMERICA SOUTH,team_2_region_NORTH AMERICA,team_2_region_OCEANIA,team_2_region_VIETNAM,team_2_region_None
Dplus KIA,T1,2.5,1.9,0.88,0.89,620.67,790.53,0.61,0.61,31.9,30.18,2.7,2.5,0.54,0.5,0.46,0.71,0.94,1.18,6.47,7.07,31.05,33.23,71,109,2.3,2.4,8.9,8.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Dplus KIA,GEN.G,2.5,3.1,0.88,0.9,620.67,1071.47,0.61,0.82,31.9,30.42,2.7,2.7,0.54,0.73,0.46,0.71,0.94,0.92,6.47,8.02,31.05,28.52,71,265,2.3,2.5,8.9,8.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Dplus KIA,KT Rolster,2.5,2.9,0.88,0.86,620.67,604.8,0.61,0.76,31.9,29.43,2.7,2.6,0.54,0.54,0.46,0.59,0.94,0.88,6.47,7.72,31.05,31.28,71,192,2.3,2.5,8.9,8.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Dplus KIA,JDG,2.5,2.3,0.88,0.76,620.67,1200,0.61,0.78,31.9,28.73,2.7,2.4,0.54,0.5,0.46,0.36,0.94,1.2,6.47,7.67,31.05,30.43,71,219,2.3,2.3,8.9,8.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dplus KIA,Weibo Gaming,2.5,2.4,0.88,0.86,620.67,40,0.61,0.63,31.9,29.63,2.7,2,0.54,0.45,0.46,0.59,0.94,1,6.47,6.97,31.05,30.67,71,128,2.3,2.3,8.9,8.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dplus KIA,NRG,2.5,1.5,0.88,1.13,620.67,-653.33,0.61,0.55,31.9,34.97,2.7,2.4,0.54,0.41,0.46,0.46,0.94,0.92,6.47,6.07,31.05,32.98,71,-21,2.3,2.5,8.9,8.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Dplus KIA,Cloud9,2.5,2.1,0.88,0.9,620.67,958.53,0.61,0.72,31.9,29.18,2.7,2.4,0.54,0.53,0.46,0.53,0.94,1.13,6.47,7.37,31.05,34.58,71,203,2.3,2.5,8.9,8.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Dplus KIA,Team Liquid,2.5,2,0.88,0.98,620.67,1129.33,0.61,0.55,31.9,29.8,2.7,2.6,0.54,0.59,0.46,0.63,0.94,1.22,6.47,6.67,31.05,33.98,71,104,2.3,2.3,8.9,8.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Dplus KIA,G2,2.5,2.2,0.88,0.94,620.67,1688.4,0.61,0.82,31.9,30.2,2.7,2.5,0.54,0.56,0.46,0.77,0.94,1.26,6.47,8.27,31.05,30.87,71,252,2.3,2.3,8.9,7.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Dplus KIA,MAD Lions,2.5,1.1,0.88,0.6,620.67,-529.2,0.61,0.4,31.9,31.72,2.7,1.9,0.54,0.39,0.46,0.31,0.94,0.72,6.47,5.47,31.05,30.88,71,-104,2.3,2.1,8.9,8.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
